Instrument,Country of Exchange
000001.SZ,China
000002.SZ,China
000004.SZ,China
000005.SZ,China
000006.SZ,China
000007.SZ,China
000008.SZ,China
000009.SZ,China
00001.YG,Myanmar; formerly Burma
000010.SZ,China
000011.SZ,China
000012.SZ,China
000014.SZ,China
000016.SZ,China
000017.SZ,China
000019.SZ,China
00002.YG,Myanmar; formerly Burma
000020.KS,Korea; Republic (S. Korea)
000020.SZ,China
000021.SZ,China
000023.SZ,China
000025.SZ,China
000026.SZ,China
000027.SZ,China
000028.SZ,China
000029.SZ,China
000030.SZ,China
000031.SZ,China
000032.SZ,China
000034.SZ,China
000035.SZ,China
000036.SZ,China
000037.SZ,China
000038.SZ,China
000039.SZ,China
000040.KS,Korea; Republic (S. Korea)
000040.SZ,China
000042.SZ,China
000045.SZ,China
000046.SZ,China
000048.SZ,China
000049.SZ,China
000050.KS,Korea; Republic (S. Korea)
000050.SZ,China
000055.SZ,China
000056.SZ,China
000058.SZ,China
000059.SZ,China
000060.KS,Korea; Republic (S. Korea)
000060.SZ,China
000061.SZ,China
000062.SZ,China
000063.SZ,China
000065.SZ,China
000066.SZ,China
000068.SZ,China
000069.SZ,China
000070.KS,Korea; Republic (S. Korea)
000070.SZ,China
000078.SZ,China
000080.KS,Korea; Republic (S. Korea)
000088.SZ,China
000089.SZ,China
000090.SZ,China
000096.SZ,China
000099.SZ,China
0001.HK,Hong Kong
000100.KS,Korea; Republic (S. Korea)
000100.SZ,China
000120.KS,Korea; Republic (S. Korea)
000140.KS,Korea; Republic (S. Korea)
000150.KS,Korea; Republic (S. Korea)
000150.SZ,China
000151.SZ,China
000153.SZ,China
000155.SZ,China
000156.SZ,China
000157.SZ,China
000158.SZ,China
000159.SZ,China
000166.SZ,China
000180.KS,Korea; Republic (S. Korea)
0002.HK,Hong Kong
000210.KS,Korea; Republic (S. Korea)
000220.KS,Korea; Republic (S. Korea)
000230.KS,Korea; Republic (S. Korea)
000240.KS,Korea; Republic (S. Korea)
000250.KQ,Korea; Republic (S. Korea)
000270.KS,Korea; Republic (S. Korea)
0003.HK,Hong Kong
000300.KS,Korea; Republic (S. Korea)
000301.SZ,China
000320.KS,Korea; Republic (S. Korea)
000333.SZ,China
000338.SZ,China
000370.KS,Korea; Republic (S. Korea)
000390.KS,Korea; Republic (S. Korea)
0004.HK,Hong Kong
000400.KS,Korea; Republic (S. Korea)
000400.SZ,China
000401.SZ,China
000402.SZ,China
000403.SZ,China
000404.SZ,China
000407.SZ,China
000408.SZ,China
000409.SZ,China
000410.SZ,China
000411.SZ,China
000413.SZ,China
000415.SZ,China
000416.SZ,China
000417.SZ,China
000419.SZ,China
000420.SZ,China
000421.SZ,China
000422.SZ,China
000423.SZ,China
000425.SZ,China
000426.SZ,China
000428.SZ,China
000429.SZ,China
000430.KS,Korea; Republic (S. Korea)
000430.SZ,China
000440.KQ,Korea; Republic (S. Korea)
000480.KS,Korea; Republic (S. Korea)
000488.SZ,China
000490.KS,Korea; Republic (S. Korea)
000498.SZ,China
000500.KS,Korea; Republic (S. Korea)
000501.SZ,China
000503.SZ,China
000504.SZ,China
000505.SZ,China
000506.SZ,China
000507.SZ,China
000509.SZ,China
000510.SZ,China
000513.SZ,China
000514.SZ,China
000516.SZ,China
000517.SZ,China
000518.SZ,China
000519.SZ,China
000520.KS,Korea; Republic (S. Korea)
000520.SZ,China
000521.SZ,China
000523.SZ,China
000524.SZ,China
000525.SZ,China
000526.SZ,China
000528.SZ,China
000529.SZ,China
000530.SZ,China
000531.SZ,China
000532.SZ,China
000533.SZ,China
000534.SZ,China
000536.SZ,China
000537.SZ,China
000538.SZ,China
000539.SZ,China
000540.KS,Korea; Republic (S. Korea)
000540.SZ,China
000541.SZ,China
000543.SZ,China
000544.SZ,China
000545.SZ,China
000546.SZ,China
000547.SZ,China
000548.SZ,China
000550.SZ,China
000551.SZ,China
000552.SZ,China
000553.SZ,China
000554.SZ,China
000555.SZ,China
000557.SZ,China
000558.SZ,China
000559.SZ,China
000560.SZ,China
000561.SZ,China
000563.SZ,China
000564.SZ,China
000565.SZ,China
000566.SZ,China
000567.SZ,China
000568.SZ,China
000570.SZ,China
000571.SZ,China
000572.SZ,China
000573.SZ,China
000576.SZ,China
000581.SZ,China
000582.SZ,China
000584.SZ,China
000586.SZ,China
000587.SZ,China
000589.SZ,China
000590.KS,Korea; Republic (S. Korea)
000590.SZ,China
000591.SZ,China
000592.SZ,China
000593.SZ,China
000595.SZ,China
000596.SZ,China
000597.SZ,China
000598.SZ,China
000599.SZ,China
0006.HK,Hong Kong
000600.SZ,China
000601.SZ,China
000603.SZ,China
000605.SZ,China
000606.SZ,China
000607.SZ,China
000608.SZ,China
000609.SZ,China
000610.SZ,China
000612.SZ,China
000615.SZ,China
000616.SZ,China
000617.SZ,China
000619.SZ,China
000620.SZ,China
000622.SZ,China
000623.SZ,China
000625.SZ,China
000626.SZ,China
000627.SZ,China
000628.SZ,China
000629.SZ,China
000630.SZ,China
000631.SZ,China
000632.SZ,China
000633.SZ,China
000635.SZ,China
000636.SZ,China
000637.SZ,China
000638.SZ,China
000639.SZ,China
000640.KS,Korea; Republic (S. Korea)
000650.KS,Korea; Republic (S. Korea)
000650.SZ,China
000651.SZ,China
000652.SZ,China
000655.SZ,China
000656.SZ,China
000657.SZ,China
000659.SZ,China
000660.KS,Korea; Republic (S. Korea)
000661.SZ,China
000663.SZ,China
000665.SZ,China
000666.SZ,China
000667.SZ,China
000668.SZ,China
000669.SZ,China
000670.KS,Korea; Republic (S. Korea)
000670.SZ,China
000671.SZ,China
000672.SZ,China
000676.SZ,China
000677.SZ,China
000678.SZ,China
000679.SZ,China
000680.KS,Korea; Republic (S. Korea)
000680.SZ,China
000681.SZ,China
000682.SZ,China
000683.SZ,China
000685.SZ,China
000686.SZ,China
000688.SZ,China
000690.SZ,China
000691.SZ,China
000692.SZ,China
000695.SZ,China
000697.SZ,China
000698.SZ,China
0007.HK,Hong Kong
000700.KS,Korea; Republic (S. Korea)
000700.SZ,China
000701.SZ,China
000702.SZ,China
000703.SZ,China
000705.SZ,China
000707.SZ,China
000708.SZ,China
000709.SZ,China
000710.SZ,China
000711.SZ,China
000712.SZ,China
000713.SZ,China
000715.SZ,China
000716.SZ,China
000717.SZ,China
000718.SZ,China
000719.SZ,China
000720.KS,Korea; Republic (S. Korea)
000720.SZ,China
000721.SZ,China
000722.SZ,China
000723.SZ,China
000725.SZ,China
000726.SZ,China
000727.SZ,China
000728.SZ,China
000729.SZ,China
000731.SZ,China
000732.SZ,China
000733.SZ,China
000735.SZ,China
000736.SZ,China
000737.SZ,China
000738.SZ,China
000739.SZ,China
000750.SZ,China
000751.SZ,China
000752.SZ,China
000753.SZ,China
000755.SZ,China
000756.SZ,China
000757.SZ,China
000758.SZ,China
000759.SZ,China
000760.KS,Korea; Republic (S. Korea)
000761.SZ,China
000762.SZ,China
000766.SZ,China
000767.SZ,China
000768.SZ,China
000776.SZ,China
000777.SZ,China
000778.SZ,China
000779.SZ,China
000782.SZ,China
000783.SZ,China
000785.SZ,China
000786.SZ,China
000788.SZ,China
000789.SZ,China
000790.SZ,China
000791.SZ,China
000792.SZ,China
000793.SZ,China
000795.SZ,China
000796.SZ,China
000797.SZ,China
000798.SZ,China
000799.SZ,China
0008.HK,Hong Kong
000800.SZ,China
000801.SZ,China
000802.SZ,China
000803.SZ,China
000806.SZ,China
000807.SZ,China
000809.SZ,China
000810.KS,Korea; Republic (S. Korea)
000810.SZ,China
000811.SZ,China
000812.SZ,China
000813.SZ,China
000815.SZ,China
000816.SZ,China
000818.SZ,China
000819.SZ,China
000820.SZ,China
000821.SZ,China
000822.SZ,China
000823.SZ,China
000825.SZ,China
000826.SZ,China
000828.SZ,China
000829.SZ,China
000830.SZ,China
000831.SZ,China
000833.SZ,China
000836.SZ,China
000837.SZ,China
000838.SZ,China
000839.SZ,China
000848.SZ,China
000850.KS,Korea; Republic (S. Korea)
000850.SZ,China
000851.SZ,China
000852.SZ,China
000856.SZ,China
000858.SZ,China
000859.SZ,China
000860.KS,Korea; Republic (S. Korea)
000860.SZ,China
000861.SZ,China
000862.SZ,China
000863.SZ,China
000868.SZ,China
000869.SZ,China
000875.SZ,China
000876.SZ,China
000877.SZ,China
000878.SZ,China
000880.KS,Korea; Republic (S. Korea)
000880.SZ,China
000881.SZ,China
000882.SZ,China
000883.SZ,China
000885.SZ,China
000886.SZ,China
000887.SZ,China
000888.SZ,China
000889.SZ,China
000890.KS,Korea; Republic (S. Korea)
000890.SZ,China
000892.SZ,China
000893.SZ,China
000895.SZ,China
000897.SZ,China
000898.SZ,China
000899.SZ,China
0009.HK,Hong Kong
000900.SZ,China
000901.SZ,China
000902.SZ,China
000903.SZ,China
000905.SZ,China
000906.SZ,China
000908.SZ,China
000909.SZ,China
000910.KS,Korea; Republic (S. Korea)
000910.SZ,China
000911.SZ,China
000912.SZ,China
000913.SZ,China
000915.SZ,China
000917.SZ,China
000918.SZ,China
000919.SZ,China
000920.SZ,China
000921.SZ,China
000922.SZ,China
000923.SZ,China
000925.SZ,China
000926.SZ,China
000927.SZ,China
000928.SZ,China
000929.SZ,China
000930.SZ,China
000931.SZ,China
000932.SZ,China
000933.SZ,China
000935.SZ,China
000936.SZ,China
000937.SZ,China
000938.SZ,China
000948.SZ,China
000949.SZ,China
000950.KS,Korea; Republic (S. Korea)
000950.SZ,China
000951.SZ,China
000952.SZ,China
000953.SZ,China
000955.SZ,China
000957.SZ,China
000958.SZ,China
000959.SZ,China
000960.SZ,China
000961.SZ,China
000962.SZ,China
000963.SZ,China
000965.SZ,China
000966.SZ,China
000967.SZ,China
000968.SZ,China
000969.SZ,China
000970.KS,Korea; Republic (S. Korea)
000970.SZ,China
000971.SZ,China
000972.SZ,China
000973.SZ,China
000975.SZ,China
000976.SZ,China
000977.SZ,China
000978.SZ,China
000980.SZ,China
000981.SZ,China
000982.SZ,China
000983.SZ,China
000985.SZ,China
000987.SZ,China
000988.SZ,China
000989.SZ,China
000990.KS,Korea; Republic (S. Korea)
000990.SZ,China
000993.SZ,China
000995.SZ,China
000996.SZ,China
000997.SZ,China
000998.SZ,China
000999.SZ,China
0010.HK,Hong Kong
001000.KQ,Korea; Republic (S. Korea)
001020.KS,Korea; Republic (S. Korea)
001040.KS,Korea; Republic (S. Korea)
001060.KS,Korea; Republic (S. Korea)
001070.KS,Korea; Republic (S. Korea)
001080.KS,Korea; Republic (S. Korea)
0011.HK,Hong Kong
001120.KS,Korea; Republic (S. Korea)
001130.KS,Korea; Republic (S. Korea)
001140.KS,Korea; Republic (S. Korea)
0012.HK,Hong Kong
001200.KS,Korea; Republic (S. Korea)
001201.SZ,China
001202.SZ,China
001203.SZ,China
001205.SZ,China
001206.SZ,China
001207.SZ,China
001208.SZ,China
001209.SZ,China
001210.KS,Korea; Republic (S. Korea)
001210.SZ,China
001211.SZ,China
001212.SZ,China
001213.SZ,China
001215.SZ,China
001216.SZ,China
001217.SZ,China
001218.SZ,China
001219.SZ,China
001222.SZ,China
001223.SZ,China
001226.SZ,China
001227.SZ,China
001228.SZ,China
001229.SZ,China
001230.KS,Korea; Republic (S. Korea)
001230.SZ,China
001231.SZ,China
001234.SZ,China
001236.SZ,China
001238.SZ,China
001250.KS,Korea; Republic (S. Korea)
001255.SZ,China
001256.SZ,China
001258.SZ,China
001259.SZ,China
001260.KS,Korea; Republic (S. Korea)
001266.SZ,China
001267.SZ,China
001268.SZ,China
001269.SZ,China
001270.KS,Korea; Republic (S. Korea)
001270.SZ,China
001283.SZ,China
001288.SZ,China
001290.KS,Korea; Republic (S. Korea)
001296.SZ,China
001298.SZ,China
001299.SZ,China
001300.SZ,China
001301.SZ,China
001308.SZ,China
001309.SZ,China
001313.SZ,China
001316.SZ,China
001317.SZ,China
001318.SZ,China
001319.SZ,China
001322.SZ,China
001323.SZ,China
001330.SZ,China
001331.SZ,China
001332.SZ,China
001333.SZ,China
001336.SZ,China
001338.SZ,China
001339.SZ,China
001340.KS,Korea; Republic (S. Korea)
001360.KS,Korea; Republic (S. Korea)
001380.KS,Korea; Republic (S. Korea)
001390.KS,Korea; Republic (S. Korea)
0014.HK,Hong Kong
001420.KS,Korea; Republic (S. Korea)
001430.KS,Korea; Republic (S. Korea)
001440.KS,Korea; Republic (S. Korea)
001450.KS,Korea; Republic (S. Korea)
001460.KS,Korea; Republic (S. Korea)
001470.KS,Korea; Republic (S. Korea)
001500.KS,Korea; Republic (S. Korea)
001510.KS,Korea; Republic (S. Korea)
001520.KS,Korea; Republic (S. Korea)
001530.KS,Korea; Republic (S. Korea)
001540.KQ,Korea; Republic (S. Korea)
001550.KS,Korea; Republic (S. Korea)
001560.KS,Korea; Republic (S. Korea)
001570.KS,Korea; Republic (S. Korea)
0016.HK,Hong Kong
001620.KS,Korea; Republic (S. Korea)
001630.KS,Korea; Republic (S. Korea)
001680.KS,Korea; Republic (S. Korea)
001696.SZ,China
0017.HK,Hong Kong
001720.KS,Korea; Republic (S. Korea)
001740.KS,Korea; Republic (S. Korea)
001750.KS,Korea; Republic (S. Korea)
001770.KS,Korea; Republic (S. Korea)
001780.KS,Korea; Republic (S. Korea)
001790.KS,Korea; Republic (S. Korea)
0018.HK,Hong Kong
001800.KS,Korea; Republic (S. Korea)
001810.KQ,Korea; Republic (S. Korea)
001820.KS,Korea; Republic (S. Korea)
001840.KQ,Korea; Republic (S. Korea)
001872.SZ,China
001880.KS,Korea; Republic (S. Korea)
001896.SZ,China
0019.HK,Hong Kong
001914.SZ,China
001940.KS,Korea; Republic (S. Korea)
001965.SZ,China
001979.SZ,China
0020.HK,Hong Kong
002001.SZ,China
002002.SZ,China
002003.SZ,China
002004.SZ,China
002005.SZ,China
002006.SZ,China
002007.SZ,China
002008.SZ,China
002009.SZ,China
002010.SZ,China
002011.SZ,China
002012.SZ,China
002013.SZ,China
002014.SZ,China
002015.SZ,China
002016.SZ,China
002017.SZ,China
002019.SZ,China
002020.KS,Korea; Republic (S. Korea)
002020.SZ,China
002021.SZ,China
002022.SZ,China
002023.SZ,China
002024.SZ,China
002025.SZ,China
002026.SZ,China
002027.SZ,China
002028.SZ,China
002029.SZ,China
002030.KS,Korea; Republic (S. Korea)
002030.SZ,China
002031.SZ,China
002032.SZ,China
002033.SZ,China
002034.SZ,China
002035.SZ,China
002036.SZ,China
002037.SZ,China
002038.SZ,China
002039.SZ,China
002040.SZ,China
002041.SZ,China
002042.SZ,China
002043.SZ,China
002044.SZ,China
002045.SZ,China
002046.SZ,China
002047.SZ,China
002048.SZ,China
002049.SZ,China
002050.SZ,China
002051.SZ,China
002052.SZ,China
002053.SZ,China
002054.SZ,China
002055.SZ,China
002056.SZ,China
002057.SZ,China
002058.SZ,China
002059.SZ,China
002060.SZ,China
002061.SZ,China
002062.SZ,China
002063.SZ,China
002064.SZ,China
002065.SZ,China
002066.SZ,China
002067.SZ,China
002068.SZ,China
002069.SZ,China
002070.KS,Korea; Republic (S. Korea)
002072.SZ,China
002073.SZ,China
002074.SZ,China
002075.SZ,China
002076.SZ,China
002077.SZ,China
002078.SZ,China
002079.SZ,China
002080.SZ,China
002081.SZ,China
002082.SZ,China
002083.SZ,China
002084.SZ,China
002085.SZ,China
002086.SZ,China
002087.SZ,China
002088.SZ,China
002089.SZ,China
002090.SZ,China
002091.SZ,China
002092.SZ,China
002093.SZ,China
002094.SZ,China
002095.SZ,China
002096.SZ,China
002097.SZ,China
002098.SZ,China
002099.SZ,China
0021.HK,Hong Kong
002100.KS,Korea; Republic (S. Korea)
002100.SZ,China
002101.SZ,China
002102.SZ,China
002103.SZ,China
002104.SZ,China
002105.SZ,China
002106.SZ,China
002107.SZ,China
002108.SZ,China
002109.SZ,China
