field_id,index,mnemonic,description,EQSdisp,EQSscreen,BQL,env,soc,gov,esgo,fr_bbggei,fr_eet,fr_eutax,fr_sdgs,fr_sfdr,fr_tcfd,source,issue1,issue2,theme1,theme2,is_esg,esgd,field_pop_rank,freq,bqlc_y2021,bqlc_y2020,bqlc_y2019,bqlc_y2018,bqlc_freq
BI309,12733,EU_TAX_EST_SC_REV_PCT,EU Taxonomy Estimated SC Revenue Percent,False,True,True,True,False,False,False,False,False,True,False,False,False,BLP,GHGEmissionsManagement,,ClimateChange,,True,True,398.0,Yearly,6774.0,7381.0,7185.0,0.0,Yearly
BI310,12734,EU_TAX_EST_SC_REV_AMT,EU Taxonomy Estimated SC Revenue Amount,False,True,True,True,False,False,False,False,False,True,False,False,False,BLP,GHGEmissionsManagement,,ClimateChange,,True,True,945.0,Yearly,6774.0,0.0,0.0,0.0,Yearly
BI311,12735,EU_TAX_EST_ELIGIBLE_REV_PCT,EU Taxonomy Estimated Eligible Revenue Percent,False,True,True,True,False,False,False,False,False,True,False,False,False,BLP,GHGEmissionsManagement,,ClimateChange,,True,True,54.0,Yearly,50133.0,41515.0,39231.0,0.0,Yearly
BI312,12736,EU_TAX_EST_ELIGIBLE_REV_AMT,EU Taxonomy Estimated Eligible Revenue Amount,False,True,True,True,False,False,False,False,False,True,False,False,False,BLP,GHGEmissionsManagement,,ClimateChange,,True,True,552.0,Yearly,50133.0,0.0,0.0,0.0,Yearly
BI313,12737,EU_TAX_EST_SC_ADP_REV_PCT,EU Taxonomy Estimated SC Adaptation Rev Pct,True,False,True,True,False,False,False,False,False,True,False,False,False,BLP,EnvironmentalSupplyChainManagement,GHGEmissionsManagement,ClimateChange,ValueChain,True,True,700.0,Yearly,5632.0,0.0,0.0,0.0,Yearly
BI314,12738,EU_TAX_EST_SC_ADP_REV_AMT,EU Taxonomy Estimated SC Adaptation Rev Amt,True,False,True,True,False,False,False,False,True,True,False,False,False,BLP,EnvironmentalSupplyChainManagement,GHGEmissionsManagement,ClimateChange,ValueChain,True,True,811.0,Yearly,5632.0,0.0,0.0,0.0,Yearly
BI315,12739,EU_TAX_EST_SC_MIT_REV_PCT,EU Taxonomy Estimated SC Mitigation Rev Pct,True,False,True,True,False,False,False,False,False,True,False,False,False,BLP,GHGEmissionsManagement,,ClimateChange,,True,True,411.0,Yearly,2320.0,0.0,0.0,0.0,Yearly
BI316,12740,EU_TAX_EST_SC_MIT_REV_AMT,EU Taxonomy Estimated SC Mitigation Rev Amt,True,False,True,True,False,False,False,False,True,True,False,False,False,BLP,GHGEmissionsManagement,,ClimateChange,,True,True,878.0,Yearly,2320.0,0.0,0.0,0.0,Yearly
BI349,12749,FOSSIL_FUEL_OPERATIONS_REV_AMT,Fossil Fuel Operations Revenue Amount,True,False,True,False,False,False,True,False,True,False,False,True,False,BLP,,,SectorExposure,,True,True,723.0,Yearly,50015.0,0.0,0.0,0.0,Yearly
BI350,12750,FOSSIL_FUEL_OPERATIONS_REV_PCT,Fossil Fuel Operations Revenue Percent,True,False,True,False,False,False,True,False,True,False,False,True,False,BLP,,,SectorExposure,,True,True,313.0,Yearly,50015.0,0.0,0.0,0.0,Yearly
CG072,15186,CEO_TENURE_AS_OF_FY_END,Chief Executive Officer Tenure as of FY End,True,False,True,False,False,True,False,False,False,False,False,False,False,BLP,PayPerformance,,Compensation,,True,True,100.0,Yearly,6950.0,6715.0,6592.0,6348.0,Yearly
CG600,15459,NUMBER_OF_DIRECTORS_ON_BOARD,Board Size,False,True,True,False,False,True,False,False,False,False,False,False,False,BLP,BoardOrganization,,BoardComposition,,True,True,110.0,Daily,14554.0,14485.0,12903.0,12838.0,Daily
CG604,15463,NUM_OF_NON_EMP_DIRECTORS_ON_BRD,Number of Non-Employee Directors on Board,True,False,True,False,False,True,False,False,False,False,False,False,False,BLP,BoardOrganization,,BoardComposition,,True,True,831.0,Daily,14501.0,14397.0,12800.0,12702.0,Daily
CG605,15464,SAME_PERSON_CEO_AND_CHMN,CEO Duality,False,True,True,False,False,True,False,False,False,False,False,False,False,BLP,Independence,,BoardComposition,,True,True,213.0,Daily,12010.0,12010.0,12010.0,12010.0,Daily
CG606,15465,COMPANY_HAS_EXECUTIVE_CHAIRMAN,Executive Chair (Y/N),False,True,True,False,False,True,False,False,False,False,False,False,False,BLP,PayPerformance,,Compensation,,True,True,581.0,Daily,12881.0,12881.0,12881.0,12881.0,Daily
CG611,15470,BOD_AGE_RANGE,Board Age Range,False,True,True,False,False,True,False,False,False,False,False,False,False,BLP,BoardDiversity,,BoardComposition,,True,True,114.0,Daily,12194.0,12066.0,10401.0,10211.0,Daily
CG612,15471,BOD_AVERAGE_AGE,Board Average Age,False,True,True,False,False,True,False,False,False,False,False,False,False,BLP,BoardDiversity,,BoardComposition,,True,True,271.0,Daily,12194.0,12066.0,10401.0,10211.0,Daily
CG613,15472,NUMBER_OF_EXECUTIVES,Number of Executives,True,False,True,False,False,True,False,False,False,False,False,False,False,BLP,BoardOrganization,,BoardComposition,,True,True,610.0,Daily,14516.0,14414.0,12815.0,12714.0,Daily
CG614,15473,NUMBER_OF_MEMBERS_OF_AUD_CMTE,Size of Audit Committee,False,True,True,False,False,True,False,False,False,False,False,False,False,BLP,BoardCommittees,,BoardComposition,,True,True,864.0,Daily,14501.0,14397.0,12800.0,12702.0,Daily
CG616,15475,NUM_OF_NON_EXEC_MEMB_OF_AUD_CMTE,Number of Non-Executives on Audit Committee,True,False,True,False,False,True,False,False,False,False,False,False,False,BLP,Independence,,BoardComposition,,True,True,1061.0,Daily,11307.0,10936.0,9605.0,8718.0,Daily
CG617,15476,NUM_OF_MEMBERS_OF_CMPNSTN_CMTE,Number of Members of Compensation Committee,False,True,True,False,False,True,False,False,False,False,False,False,False,BLP,BoardCommittees,,BoardComposition,,True,True,640.0,Daily,14501.0,14397.0,12803.0,12705.0,Daily
CG622,15481,NUM_EXEC_MEMBERS_NOM_CMTE,Number of Executives on Nomination Committee,True,False,True,False,False,True,False,False,False,False,False,False,False,BLP,BoardCommittees,,BoardComposition,,True,True,743.0,Daily,9578.0,9242.0,7943.0,6825.0,Daily
CG625,15484,NUMBER_OF_WOMEN_DIRECTORS_ON_BRD,Number of Women Directors on Board,True,False,True,False,False,True,False,False,False,False,False,False,False,BLP,BoardDiversity,,BoardComposition,,True,True,481.0,Daily,14274.0,14114.0,12532.0,12173.0,Daily
CG627,15486,PCT_BRD_MEMBERS_THAT_ARE_WOMEN,Percent of Board Members that are Women,True,False,True,False,False,True,False,False,True,False,False,True,False,BLP,BoardDiversity,,BoardComposition,,True,True,103.0,Daily,,,,,
CG628,15487,CEO_OR_EQUIVALENT_A_WOMAN,Chief Executive Officer or Equivalent a Woman,True,False,True,False,False,True,False,False,False,False,False,False,False,BLP,,,ExecutiveStructure,,True,True,633.0,Daily,10909.0,10909.0,10909.0,10909.0,Daily
CG629,15488,CHAIRMAN_OR_EQUIVALENT_A_WOMAN,Chairman or Equivalent a Woman,True,False,True,False,False,True,False,False,False,False,False,False,False,BLP,BoardDiversity,,BoardComposition,,True,True,685.0,Daily,12846.0,12846.0,12846.0,12846.0,Daily
DT469,17033,GB_PROJECT_SELECTION_PROCESS,ESG Project Selection Process,False,False,True,True,False,False,False,False,False,False,False,False,False,BLP,,,,,True,True,85.0,Yearly,1432.0,763.0,563.0,273.0,Yearly
DT470,17034,GB_MANAGEMENT_PROCEEDS,ESG Management Proceeds,False,False,True,True,False,False,False,False,False,False,False,False,False,BLP,,,,,True,True,86.0,Yearly,1432.0,752.0,559.0,260.0,Yearly
DT471,17035,GB_REPORTING,ESG Reporting,False,False,True,True,False,False,False,False,False,False,False,False,False,BLP,,,,,True,True,87.0,Yearly,1421.0,727.0,549.0,434.0,Yearly
DT472,17036,GB_ASSURANCE_PROVIDERS,ESG Assurance Providers,False,False,True,True,False,False,False,False,False,False,False,False,False,BLP,,,,,True,True,88.0,Yearly,1310.0,648.0,505.0,226.0,Yearly
DT607,17126,GREEN_BOND_LOAN_INDICATOR,Green Bond/Loan Indicator,False,False,True,True,False,False,False,False,False,False,False,False,False,BLP,,,,,True,True,40.0,Yearly,1486.0,1013.0,884.0,521.0,Yearly
DW375,17829,SOCIAL_BOND_IND,Social Instrument Indicator,False,False,True,False,True,False,False,False,False,False,False,False,False,BLP,,,,,True,True,41.0,Yearly,193.0,104.0,39.0,18.0,Yearly
DW376,17830,SUSTAINABILITY_BOND_IND,Sustainability Instrument Indicator,False,False,True,False,False,False,True,False,False,False,False,False,False,BLP,,,,,True,True,42.0,Yearly,280.0,101.0,67.0,28.0,Yearly
DW414,17843,SUSTNABILTY_LINKD_INDCTR,Sustainability Linked Indicator,False,False,True,False,False,False,True,False,False,False,False,False,False,BLP,,,,,True,True,43.0,Yearly,621.0,161.0,132.0,35.0,Yearly
DW421,17848,SUSTNABILTY_LINKD_START_DT,Sustainability Linked Start Date,False,False,True,False,False,False,True,False,False,False,False,False,False,BLP,,,,,True,True,2613.0,Yearly,442.0,136.0,128.0,34.0,Yearly
DW422,17849,SUSTNABILTY_LINKD_END_DT,Sustainability Linked End Date,False,False,True,False,False,False,True,False,False,False,False,False,False,BLP,,,,,True,True,2614.0,Yearly,,,,,
DW530,17876,DEBT_ESG_DATA_COVRGE_TICKR,Debt to ESG Data Coverage Ticker,False,False,True,False,False,False,True,False,False,False,False,False,False,BLP,,,,,True,True,2615.0,,,,,,
DW810,17925,SELF_REPRTD_GREEN_INSTR_INDCTR,Self-Reported Green Instrument Indicator,False,False,True,True,False,False,False,False,False,False,False,False,False,BLP,,,,,True,True,2617.0,Yearly,,,,,
DW811,17926,SELF_REPRTD_SOCL_INSTRMNT_INDCTR,Self-Reported Social Instrument Indicator,False,False,True,False,True,False,False,False,False,False,False,False,False,BLP,,,,,True,True,2618.0,Yearly,,,,,
DW812,17927,SELF_REPRTD_SUSTAIN_INSTR_INDCTR,Self-Reported Sustainability Instrument Indicator,False,False,True,False,False,False,True,False,False,False,False,False,False,BLP,,,,,True,True,2619.0,Yearly,,,,,
DW813,17928,SELF_REPRTD_SUSTAIN_LINKD_INDCTR,Self-Reported Sustainability linked Indicator,False,False,True,False,False,False,True,False,False,False,False,False,False,BLP,,,,,True,True,2620.0,Yearly,,,,,
DW814,17929,SELF_REPRTD_TRANS_INSTR_INDCTR,Self-Reported Transition Instrument Indicator,False,False,True,True,False,False,False,False,False,False,False,False,False,BLP,GHGEmissionsManagement,,ClimateChange,,True,True,2621.0,Yearly,,,,,
DW815,17930,TRANSITION_INSTRUMENT_INDICATOR,Transition Instrument Indicator,False,False,True,True,False,False,False,False,False,False,False,False,False,BLP,GHGEmissionsManagement,,ClimateChange,,True,True,44.0,Yearly,,,,,
DW892,17955,ESG_PROJECT_CATEGORY,ESG Project Category,False,False,True,False,False,False,True,False,False,False,False,False,False,BLP,,,,,True,True,2622.0,Yearly,,,,,
DW893,17956,ESG_PROJECT_SUBCATEGORY,ESG Project Subcategory,False,False,True,False,False,False,True,False,False,False,False,False,False,BLP,,,,,True,True,2623.0,Yearly,,,,,
DW894,17957,SUSTAINABLE_DEVELOPMENT_GOALS,Sustainable Development Goals,False,False,True,False,False,False,True,False,False,False,False,False,False,BLP,,,,,True,True,2624.0,Yearly,,,,,
DW895,17958,EU_TAX_ALIGNED_USE_PROCEEDS_PCT,EU Taxonomy Aligned Use of Proceeds Percentage,False,False,True,True,False,False,False,False,True,True,False,True,False,BLP,GHGEmissionsManagement,,ClimateChange,,True,True,2625.0,Yearly,,,,,
